"SiteId","SampId","X","Y","Region","RiverBasin","BIOGEO","temperature","velocity","A10m","cow.density","IAR","urban.area","FRI","bFRI","width.variability","temperature2","velocity2","temperature.lm.area.elev","temperature.lm.area.air","temperature.lme.area.elev","Occurrence.Simuliidae","Occurrence.Oligochaeta","Occurrence.Limoniidae","Occurrence.Limnephilidae","Occurrence.Rhyacophilidae","Occurrence.Elmidae","Occurrence.Gammaridae","Occurrence.Heptageniidae","Occurrence.Nemouridae","Occurrence.Empididae","Occurrence.Hydropsychidae","Occurrence.Leuctridae","Occurrence.Ceratopogonidae","Occurrence.Prostigmata","Occurrence.Psychodidae","Occurrence.Leptophlebiidae","Occurrence.Sphaeriidae","Occurrence.Taeniopterygidae","Occurrence.Perlodidae","Occurrence.Athericidae","Occurrence.Psychomyiidae","Occurrence.Nematoda","Occurrence.Hydraenidae","Occurrence.Planariidae","Occurrence.Sericostomatidae","Occurrence.Tipulidae","Occurrence.Polycentropodidae","Occurrence.Odontoceridae","Occurrence.Dugesiidae","Occurrence.Lymnaeidae","Occurrence.Erpobdellidae","Occurrence.Scirtidae","Occurrence.Ephemerellidae","Occurrence.Asellidae","Occurrence.Ephemeridae","Occurrence.Chloroperlidae","Occurrence.Dytiscidae","Occurrence.Stratiomyidae","Occurrence.Hydroptilidae","Occurrence.Hydrobiidae","Occurrence.Perlidae","Occurrence.Planorbidae","Occurrence.Glossosomatidae","Occurrence.Blephariceridae","Occurrence.Glossiphoniidae","Occurrence.Capniidae","Occurrence.Goeridae","Occurrence.Philopotamidae","Occurrence.Dixidae","Occurrence.Gyrinidae","Occurrence.Caenidae","Occurrence.Leptoceridae","Occurrence.Calopterygidae","Occurrence.Tabanidae","Occurrence.Pediciidae","Occurrence.Cordulegastridae","Occurrence.Anthomyiidae","Occurrence.Lepidostomatidae","Occurrence.Physidae","Occurrence.Sialidae"
"CSCF_45_7400_GE","CSCF_45_7400_GE_2010-03-09",495000,113000,"RHONE","RHONE","Mittelland",18.9680179984491,0.244790923906509,16.0988007,3.38308445725995,0.3756794217,0.1597,21.041642,0,0.4125,359.785706789489,0.0599225964270023,19.0039053030591,16.2273215036774,18.9680179984491,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CSCF_41_2350_GE","CSCF_41_2350_GE_2010-03-04",497000,111000,"RHONE","RHONE","Mittelland",15.412060747181,0.171636592833089,0.1639168,1.58032920116868,0.2408002628,0.0359,44.773551,46.270248,0,237.531616474797,0.0294591199993516,15.4439579300535,14.2517720607796,15.412060747181,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CSCF_29_50_GE","CSCF_29_50_GE_2010-03-01",5e+05,111000,"RHONE","RHONE","Mittelland",13.5956622181011,0.144082026284312,15.7226887,7.8224225144101,0.277611608,0.5709,0,0,0.4125,184.842031148702,0.0207596302981932,13.6255196147775,13.306665694243,13.5956622181011,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_S201_AG","CSCF_S201_AG_2011-03-10",624000,264000,"RHEIN","RHEIN","Mittelland",17.5910054096719,0.333067754793596,19.7333298,44.9690373139159,0.235650809,0.0526,26.866861,54.67859,0.4125,309.443471323106,0.110934129283247,17.702835595143,14.7201898973971,17.5910054096719,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"CSCF_S202_AG","CSCF_S202_AG_2011-03-09",627000,265000,"RHEIN","RHEIN","Mittelland",19.6870508725947,0.553179046938717,12.2949266,34.1598517853478,0.2841530872,0.0601,21.084788,0,1,387.579972060132,0.306007057972027,19.8012449649328,16.2182017769557,19.6870508725947,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CSCF_S204_AG","CSCF_S204_AG_2011-03-09",629000,264000,"RHEIN","RHEIN","Mittelland",18.4920841289855,0.519498840635698,12.1757364,37.9015877749016,0.3038387467,0.0458,21.883026,0,1,341.957175433477,0.269879045421834,18.6049393107897,15.462397340443,18.4920841289855,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_S205_AG","CSCF_S205_AG_2011-03-11",630000,270000,"RHEIN","RHEIN","Mittelland",19.9466626349375,0.681429161299321,6.3622885,44.0067920653648,0.1289174159,0.1197,18.9228,36.923777,0,397.869350272012,0.464345701869096,20.061145356904,16.6069743179581,19.9466626349375,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CSCF_S207_AG","CSCF_S207_AG_2011-03-11",634000,265000,"RHEIN","RHEIN","Jura",18.8913234065494,0.513478756543627,5.8604856,52.5413459743964,0.1202931218,0.0615,22.79337,0,0.4125,356.882100050841,0.263660433421589,19.0046298780405,15.7668672332407,18.8913234065494,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_S291_AG","CSCF_S291_AG_2011-03-23",650000,246000,"AARE","RHEIN","Mittelland",20.3086109247284,0.603935589528719,19.7614956,64.7576390206152,0.0879585003,0.1372,28.24697,0,1,412.439677691998,0.364738196299401,20.423525401846,15.6826525814117,20.3086109247284,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_S292_AG","CSCF_S292_AG_2011-03-23",651000,243000,"AARE","RHEIN","Mittelland",20.0038751607813,0.562788066469262,20.6423225,72.0389875418885,0.0945370696,0.1377,27.092271,0,0.4125,400.155021448123,0.31673040776021,20.1184503476385,15.4008460213065,20.0038751607813,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CSCF_S293_AG","CSCF_S293_AG_2011-03-23",653000,242000,"AARE","RHEIN","Mittelland",16.1219081328522,0.432096061623542,7.5471559,23.9660582144333,0.1434957848,0.1401,22.227456,7.49183,1,259.915921844126,0.186707006470576,16.2321184045902,13.2670430496524,16.1219081328522,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_S295_AG","CSCF_S295_AG_2011-03-24",653000,238000,"AARE","RHEIN","Mittelland",17.5677012778938,0.592201898683232,13.8938122,49.1173896181294,0.1077802211,0.0738,35.547576,0,1,308.624128189311,0.350703088804025,17.6795480570789,14.4558137282393,17.5677012778938,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_S297_AG","CSCF_S297_AG_2011-03-25",653000,237000,"AARE","RHEIN","Mittelland",19.2568082607083,0.521443791450142,26.4513988,92.2198328190514,0.0995889275,0.1581,27.381439,0,1,370.824664389683,0.271903627641899,19.3705469778889,15.2796116437193,19.2568082607083,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CSCF_S298_AG","CSCF_S298_AG_2011-03-25",655000,235000,"AARE","RHEIN","Mittelland",18.5718836508717,0.53964993849903,23.9137897,115.205485968608,0.1162882459,0.1237,31.700844,0,0,344.914862341516,0.291222056122007,18.6848576579883,15.21478773207,18.5718836508717,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_S299_AG","CSCF_S299_AG_2011-03-25",656000,231000,"AARE","RHEIN","Mittelland",15.9630477032989,0.456607482534903,12.9768419,114.40873741141,0.1236085791,0.1145,52.764918,100.000419,1,254.818891977796,0.208490393106862,16.0730906374505,13.3928813543439,15.9630477032989,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_S300_AG","CSCF_S300_AG_2011-03-25",657000,231000,"AARE","RHEIN","Mittelland",18.0367055473937,0.518317494561844,27.1732254,125.194620449605,0.1234113729,0.0654,35.04963,10.781783,1,325.322747003383,0.268653025168867,18.1490811576758,14.7665610577295,18.0367055473937,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_S208_AG","CSCF_S208_AG_2011-03-11",637000,262000,"RHEIN","RHEIN","Jura",17.7127929382868,0.427240136873363,7.5839176,57.6548115894645,0.0871855221,0.0598,28.638534,0,1,313.743033674623,0.18253413455557,17.8247780923377,15.2420470039591,17.7127929382868,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CSCF_LU_15","CSCF_LU_15_2011-03-02",672000,219000,"REUSS","RHEIN","Mittelland",17.0255780194334,0.0709729250761359,7.2272906,77.3629599142668,0.1082115464,0.2787,10.878194,0,0.4125,289.870306895814,0.0050371560938628,17.1367732096387,14.7269356122367,17.0255780194334,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"CSCF_LU_05","CSCF_LU_05_2011-03-02",668000,217000,"REUSS","RHEIN","Mittelland",18.7542966450741,0.82857925840495,0.5756812,22.202249659968,0.0091091741,0.0299,37.876473,0,0.4125,351.723642651438,0.686543587458897,18.867595479755,19.152206080071,18.7542966450741,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"CSCF_LU_12","CSCF_LU_12_2011-03-01",664000,213000,"REUSS","RHEIN","Mittelland",19.1127527680182,0.710858421783849,1.5159482,46.4341530725684,0.0166606599,0.0274,56.377194,0,0.4125,365.297318371387,0.505319695821025,19.2263943566888,18.0496658043355,19.1127527680182,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_LU_02","CSCF_LU_02_2011-03-01",665000,213000,"REUSS","RHEIN","Mittelland",18.7461914970477,1.00014585111006,0.5674696,22.177577252882,0.0090810656,0.0299,37.872982,0,0.4125,351.419695643984,1.00029172349267,18.8594813943509,19.173450579278,18.7461914970477,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CSCF_LU_04","CSCF_LU_04_2011-03-01",669000,217000,"REUSS","RHEIN","Mittelland",18.7542966450741,0.82857925840495,0.5756812,22.202249659968,0.0091091741,0.0299,37.876473,0,0.4125,351.723642651438,0.686543587458897,18.867595479755,19.152206080071,18.7542966450741,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CSCF_LU_07","CSCF_LU_07_2011-03-02",673000,221000,"REUSS","RHEIN","Mittelland",19.0294643475829,0.745495264888978,1.2440329,25.4954262517218,0.0121710574,0.0355,37.517278,0,0,362.120513355929,0.555763189971887,19.1430666828442,19.3206801242074,19.0294643475829,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CSCF_LU_03","CSCF_LU_03_2011-03-01",665000,214000,"REUSS","RHEIN","Mittelland",18.7461914970477,1.00014585111006,0.5674696,22.177577252882,0.0090810656,0.0299,37.872982,0,0,351.419695643984,1.00029172349267,18.8594813943509,19.173450579278,18.7461914970477,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_LU_06","CSCF_LU_06_2011-03-02",673000,220000,"REUSS","RHEIN","Mittelland",19.0291985087233,0.882329207773598,1.2405845,25.4936007282127,0.0121685792,0.0355,37.521433,0,0.4125,362.110395884397,0.778504830890385,19.1428005508582,19.3095594205359,19.0291985087233,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"CSCF_187_450_GE","CSCF_187_450_GE_2011-03-07",490000,116000,"RHONE","RHONE","Mittelland",18.7527850650159,0.133693791613626,4.5376267,1.87081270966941,0.1983365364,0.0172,66.526594,30.216053,1,351.666947694683,0.0178740299160277,18.8659219300079,15.6743832705048,18.7527850650159,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"CSCF_84_250_GE","CSCF_84_250_GE_2011-03-07",490000,115000,"RHONE","RHONE","Mittelland",18.7527850650159,0.192880020581358,4.5376267,1.87081270966941,0.1983365364,0.0172,66.526594,0,1,351.666947694683,0.0372027023394651,18.8659219300079,15.6743832705048,18.7527850650159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_84_5550_GE","CSCF_84_5550_GE_2011-03-07",489000,119000,"RHONE","RHONE","Mittelland",17.4767343203252,0.140064088266397,5.4217811,1.19541912248,0.2384609725,0.0083,69.342881,24.049314,1,305.436242503233,0.019617948821897,17.5884403934863,14.6984674443782,17.4767343203252,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CSCF_84_7850_GE","CSCF_84_7850_GE_2011-03-07",490000,121000,"RHONE","RHONE","Mittelland",16.5808488588023,0.0760697110712156,18.802639,1.65737162943089,0.3193852254,0.0154,24.761041,0,1,274.924548878446,0.00578660094245822,16.6915487644367,14.0338556216687,16.5808488588023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_BOR 03.7_VS","CSCF_BOR 03.7_VS_2011-03-12",598000,119000,"RHONE","RHONE","Zentralalpen",9.89728135972635,1.24797221327141,0,4.30904832432019,0.0042412159,0.0112,18.391673,3.421861,1,97.9561783135867,1.55743464509754,10.0007902499294,15.5991358320762,9.89728135972635,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_GAM 01.6_VS","CSCF_GAM 01.6_VS_2011-03-29",639000,127000,"RHONE","RHONE","Zentralalpen",8.44775152027204,1.27969899260566,0,3.13899173072005,0,3e-04,7.932351,0,0.4125,71.3645057482586,1.63762951167594,8.54960005705168,12.7235378282828,8.44775152027204,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_RHO 83.9_VS","CSCF_RHO 83.9_VS_2011-03-01",609000,127000,"RHONE","RHONE","Zentralalpen",12.4989227336505,1.32488629375992,0.8567407,4.28395481006897,0.0013624247,0.0149,9.558289,0,1,156.223069501765,1.7553236913929,12.6053443584378,17.7633634650766,12.4989227336505,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_JU_BI_06","CSCF_JU_BI_06_2011-03-10",596000,241000,"RHEIN","RHEIN","Jura",19.0317003961897,0.594248242465645,6.4002271,26.8888070022882,0.0034797115,0.0476,32.498882,0,0.4125,362.205619970327,0.353130973673508,19.1452346059105,15.0466871726667,19.0317003961897,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSCF_JU_BI_07.6","CSCF_JU_BI_07.6_2011-03-07",594000,247000,"RHEIN","RHEIN","Jura",19.9717657839306,0.591109123355697,10.4028816,26.2806945454277,0.0081249015,0.0447,32.860823,0,0.4125,398.871428528181,0.349409995714341,20.0863440987019,15.4881659975494,19.9717657839306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
