"Taxa","Prevalence","Taxonomic level","Null_model","iGLM.dev.fit","hGLM.dev.fit","chGLM.dev.fit","GAM.dev.fit","SVM.dev.fit","BCT.dev.fit","RF.dev.fit","ANN.dev.fit","expl.pow_iGLM.dev.fit","expl.pow_hGLM.dev.fit","expl.pow_chGLM.dev.fit","expl.pow_GAM.dev.fit","expl.pow_SVM.dev.fit","expl.pow_BCT.dev.fit","expl.pow_RF.dev.fit","expl.pow_ANN.dev.fit","iGLM.dev.pred","hGLM.dev.pred","chGLM.dev.pred","GAM.dev.pred","SVM.dev.pred","BCT.dev.pred","RF.dev.pred","ANN.dev.pred","expl.pow_iGLM.dev.pred","expl.pow_hGLM.dev.pred","expl.pow_chGLM.dev.pred","expl.pow_GAM.dev.pred","expl.pow_SVM.dev.pred","expl.pow_BCT.dev.pred","expl.pow_RF.dev.pred","expl.pow_ANN.dev.pred","iGLM.auc.fit","hGLM.auc.fit","chGLM.auc.fit","GAM.auc.fit","SVM.auc.fit","BCT.auc.fit","RF.auc.fit","ANN.auc.fit","Null_model.auc","iGLM.auc.pred","hGLM.auc.pred","chGLM.auc.pred","GAM.auc.pred","SVM.auc.pred","BCT.auc.pred","RF.auc.pred","ANN.auc.pred","iGLM.likelihood.ratio","hGLM.likelihood.ratio","chGLM.likelihood.ratio","GAM.likelihood.ratio","SVM.likelihood.ratio","BCT.likelihood.ratio","RF.likelihood.ratio","ANN.likelihood.ratio","iGLM.auc.ratio","hGLM.auc.ratio","chGLM.auc.ratio","GAM.auc.ratio","SVM.auc.ratio","BCT.auc.ratio","RF.auc.ratio","ANN.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff","chGLM.model.diff","chGLM.pred.expl.pow.diff"
"Hydropsychidae",0.69,"family",1.24,0.91,0.91,0.91,0.84,0.86,0.79,0.23,0.96,0.27,0.27,0.26,0.32,0.31,0.37,0.82,0.22,0.93,0.93,0.93,0.9,0.94,0.88,0.87,0.97,0.25,0.25,0.25,0.27,0.24,0.29,0.3,0.22,0.83,0.82,0.82,0.85,0.87,0.88,1,0.78,0.5,0.82,0.81,0.81,0.83,0.82,0.84,0.84,0.77,0.99,0.99,0.99,0.97,0.96,0.95,0.73,1,0.99,0.99,0.99,0.97,0.94,0.95,0.84,1,"RF.dev-ANN.dev",0.08,"RF.dev-chGLM",0.05
"Leuctridae",0.68,"family",1.26,0.88,0.88,0.89,0.83,0.84,0.77,0.22,0.89,0.3,0.3,0.3,0.34,0.33,0.39,0.82,0.3,0.9,0.91,0.91,0.89,0.91,0.87,0.85,0.91,0.28,0.28,0.28,0.29,0.28,0.3,0.33,0.28,0.85,0.85,0.85,0.87,0.87,0.9,1,0.85,0.5,0.84,0.84,0.84,0.84,0.84,0.85,0.87,0.84,0.99,0.99,0.99,0.97,0.97,0.95,0.73,0.99,0.99,0.99,0.99,0.97,0.97,0.95,0.87,0.99,"RF.dev-hGLM.dev",0.05,"RF.dev-chGLM",0.05
"Ceratopogonidae",0.59,"family",1.35,1.19,1.2,1.2,1.15,1.11,1.05,0.38,1.21,0.12,0.11,0.11,0.15,0.18,0.22,0.72,0.11,1.21,1.22,1.21,1.21,1.18,1.18,1.16,1.22,0.1,0.1,0.1,0.11,0.12,0.13,0.14,0.1,0.72,0.72,0.72,0.75,0.79,0.81,1,0.71,0.5,0.71,0.71,0.71,0.72,0.73,0.74,0.76,0.71,0.99,0.99,0.99,0.97,0.96,0.94,0.68,0.99,0.99,0.99,0.99,0.96,0.92,0.91,0.76,1,"RF.dev-hGLM.dev",0.05,"RF.dev-chGLM",0.04
"Prostigmata",0.54,"order",1.38,1.26,1.27,1.27,1.22,1.2,1.17,0.41,1.27,0.08,0.08,0.08,0.11,0.13,0.15,0.7,0.08,1.28,1.29,1.29,1.28,1.27,1.26,1.25,1.28,0.07,0.07,0.07,0.07,0.08,0.09,0.1,0.07,0.69,0.68,0.68,0.72,0.76,0.76,1,0.69,0.5,0.68,0.67,0.67,0.68,0.69,0.69,0.72,0.67,0.99,0.99,0.99,0.97,0.97,0.95,0.66,0.99,0.98,0.98,0.98,0.95,0.92,0.91,0.72,0.97,"RF.dev-hGLM.dev",0.03,"RF.dev-chGLM",0.03
"Psychodidae",0.51,"family",1.39,1.33,1.33,1.33,1.28,1.2,1.2,0.43,1.32,0.04,0.04,0.04,0.08,0.13,0.13,0.69,0.05,1.35,1.35,1.35,1.32,1.3,1.3,1.28,1.34,0.03,0.03,0.03,0.05,0.06,0.07,0.08,0.04,0.64,0.63,0.63,0.69,0.75,0.76,0.99,0.65,0.5,0.63,0.62,0.63,0.65,0.67,0.67,0.69,0.64,0.99,0.99,0.99,0.98,0.95,0.95,0.65,0.99,0.98,0.98,0.99,0.95,0.9,0.89,0.69,0.98,"RF.dev-chGLM.dev",0.05,"RF.dev-chGLM",0.05
"Leptophlebiidae",0.45,"family",1.38,1.16,1.16,1.17,1.11,1.04,1.03,0.31,1.17,0.16,0.16,0.15,0.2,0.25,0.25,0.78,0.15,1.18,1.18,1.19,1.17,1.18,1.14,1.1,1.18,0.14,0.14,0.14,0.15,0.14,0.17,0.2,0.14,0.75,0.75,0.74,0.78,0.83,0.82,1,0.74,0.5,0.74,0.74,0.74,0.75,0.75,0.77,0.79,0.74,0.99,0.99,0.99,0.97,0.93,0.95,0.67,1,0.98,0.99,0.99,0.96,0.9,0.93,0.79,1,"RF.dev-chGLM.dev",0.06,"RF.dev-chGLM",0.06
"Sphaeriidae",0.43,"family",1.37,1.05,1.05,1.05,1,0.99,0.96,0.31,1.04,0.24,0.23,0.23,0.27,0.28,0.3,0.78,0.24,1.06,1.07,1.06,1.04,1.07,1.04,1.02,1.05,0.23,0.22,0.22,0.24,0.22,0.24,0.25,0.24,0.81,0.81,0.81,0.83,0.84,0.84,1,0.81,0.5,0.81,0.8,0.81,0.81,0.81,0.81,0.82,0.8,0.99,0.99,1,0.98,0.96,0.96,0.7,0.99,1,0.99,1,0.98,0.96,0.96,0.82,1,"RF.dev-hGLM.dev",0.03,"RF.dev-chGLM",0.03
"Taeniopterygidae",0.44,"family",1.37,1.14,1.14,1.15,1.07,0.98,0.96,0.3,1.18,0.17,0.17,0.16,0.22,0.28,0.3,0.78,0.14,1.16,1.17,1.17,1.12,1.1,1.09,1.06,1.19,0.15,0.15,0.15,0.18,0.2,0.21,0.23,0.13,0.77,0.77,0.77,0.8,0.85,0.85,1,0.75,0.5,0.76,0.76,0.76,0.78,0.8,0.8,0.82,0.75,0.99,0.99,0.99,0.98,0.94,0.94,0.69,0.99,0.99,0.99,0.99,0.97,0.94,0.93,0.82,0.99,"RF.dev-ANN.dev",0.09,"RF.dev-chGLM",0.08
"Perlodidae",0.44,"family",1.37,1.03,1.04,1.04,0.98,0.99,0.91,0.27,1.03,0.25,0.24,0.24,0.28,0.28,0.33,0.8,0.25,1.06,1.06,1.06,1.04,1.04,1.02,1.01,1.06,0.23,0.23,0.22,0.24,0.24,0.26,0.26,0.23,0.82,0.82,0.82,0.84,0.84,0.87,1,0.82,0.5,0.81,0.81,0.81,0.82,0.82,0.83,0.84,0.81,0.99,0.99,0.99,0.97,0.98,0.95,0.69,0.99,0.99,0.99,0.99,0.98,0.97,0.95,0.84,0.99,"RF.dev-chGLM.dev",0.04,"RF.dev-chGLM",0.04
"Athericidae",0.36,"family",1.31,1.09,1.1,1.1,1.03,1.02,0.93,0.3,1.11,0.17,0.16,0.16,0.21,0.22,0.29,0.77,0.16,1.11,1.12,1.12,1.08,1.12,1.06,1.02,1.13,0.15,0.15,0.14,0.18,0.15,0.19,0.22,0.14,0.76,0.76,0.76,0.8,0.83,0.85,1,0.76,0.5,0.76,0.75,0.75,0.78,0.76,0.79,0.81,0.75,0.99,0.99,0.99,0.98,0.95,0.93,0.7,0.99,0.99,0.99,0.99,0.97,0.92,0.92,0.82,0.99,"RF.dev-ANN.dev",0.08,"RF.dev-chGLM",0.08
"Psychomyiidae",0.34,"family",1.28,1.1,1.11,1.11,1.04,1.03,0.95,0.31,1.09,0.14,0.13,0.14,0.19,0.19,0.26,0.76,0.14,1.12,1.12,1.13,1.08,1.15,1.06,1.04,1.1,0.12,0.12,0.12,0.15,0.1,0.17,0.19,0.14,0.73,0.72,0.73,0.78,0.83,0.84,1,0.73,0.5,0.72,0.71,0.71,0.75,0.75,0.77,0.78,0.74,0.99,0.99,0.99,0.98,0.94,0.95,0.69,1,0.98,0.99,0.98,0.96,0.9,0.92,0.78,1,"RF.dev-SVM.dev",0.08,"RF.dev-chGLM",0.07
"Nematoda",0.33,"phylum",1.27,1.24,1.24,1.24,1.2,1.17,1.16,0.41,1.24,0.03,0.02,0.02,0.05,0.08,0.08,0.68,0.02,1.24,1.25,1.25,1.24,1.23,1.22,1.23,1.25,0.02,0.02,0.01,0.02,0.03,0.04,0.03,0.01,0.61,0.6,0.61,0.66,0.74,0.72,1,0.6,0.5,0.6,0.59,0.6,0.61,0.64,0.64,0.66,0.59,1,1,1,0.98,0.97,0.97,0.66,1,0.98,0.98,0.98,0.92,0.86,0.9,0.66,0.98,"BCT.dev-ANN.dev",0.03,"BCT.dev-chGLM",0.03
"Hydraenidae",0.32,"family",1.25,1.1,1.11,1.11,1.05,1.03,0.97,0.34,1.1,0.11,0.11,0.11,0.16,0.17,0.23,0.73,0.12,1.12,1.13,1.12,1.09,1.12,1.09,1.08,1.1,0.1,0.1,0.1,0.13,0.1,0.13,0.14,0.12,0.73,0.73,0.73,0.77,0.81,0.82,1,0.73,0.5,0.72,0.72,0.72,0.74,0.73,0.74,0.75,0.73,0.99,0.99,0.99,0.98,0.96,0.94,0.69,1,0.99,0.99,0.99,0.97,0.9,0.91,0.76,1,"RF.dev-hGLM.dev",0.04,"RF.dev-chGLM",0.04
"Planariidae",0.32,"family",1.26,1.17,1.18,1.18,1.12,1.08,1.03,0.33,1.21,0.07,0.06,0.06,0.11,0.14,0.18,0.73,0.04,1.19,1.2,1.19,1.18,1.18,1.15,1.1,1.22,0.05,0.05,0.05,0.06,0.06,0.09,0.12,0.03,0.68,0.67,0.67,0.72,0.8,0.8,1,0.62,0.5,0.66,0.66,0.66,0.67,0.68,0.7,0.75,0.61,0.99,0.99,0.99,0.97,0.95,0.94,0.68,0.99,0.98,0.98,0.98,0.93,0.85,0.88,0.75,0.99,"RF.dev-ANN.dev",0.1,"RF.dev-chGLM",0.07
"Sericostomatidae",0.28,"family",1.18,1.09,1.09,1.09,1.03,1.01,0.93,0.3,1.08,0.08,0.07,0.07,0.13,0.14,0.21,0.75,0.08,1.1,1.1,1.11,1.08,1.11,1.05,0.98,1.09,0.06,0.07,0.06,0.08,0.06,0.11,0.17,0.07,0.69,0.69,0.68,0.74,0.8,0.82,1,0.69,0.5,0.67,0.68,0.67,0.7,0.69,0.73,0.77,0.68,0.99,1,0.99,0.97,0.95,0.94,0.71,0.99,0.98,0.99,0.98,0.95,0.86,0.89,0.78,0.99,"RF.dev-chGLM.dev",0.11,"RF.dev-chGLM",0.11
"Tipulidae",0.27,"family",1.18,1.14,1.15,1.15,1.12,1.09,1.11,0.4,1.16,0.03,0.02,0.02,0.05,0.07,0.05,0.66,0.01,1.15,1.16,1.16,1.16,1.15,1.15,1.18,1.16,0.02,0.02,0.02,0.01,0.02,0.02,-0.01,0.01,0.62,0.61,0.61,0.65,0.74,0.67,1,0.59,0.5,0.6,0.6,0.6,0.59,0.58,0.6,0.61,0.58,0.99,1,1,0.98,0.97,0.98,0.67,1,0.98,0.98,0.98,0.91,0.78,0.89,0.61,0.99,"iGLM.dev-RF.dev",0.03,"iGLM.dev-chGLM",0
"Polycentropodidae",0.26,"family",1.14,1.08,1.09,1.09,1.01,0.99,0.9,0.29,1.08,0.05,0.05,0.05,0.11,0.13,0.21,0.75,0.05,1.1,1.1,1.11,1.07,1.11,1.04,1,1.09,0.03,0.03,0.03,0.06,0.03,0.09,0.12,0.05,0.64,0.64,0.63,0.73,0.82,0.83,1,0.64,0.5,0.62,0.62,0.61,0.68,0.67,0.71,0.74,0.63,0.99,0.99,0.99,0.97,0.94,0.93,0.7,1,0.96,0.96,0.96,0.93,0.82,0.86,0.74,0.99,"RF.dev-chGLM.dev",0.1,"RF.dev-chGLM",0.1
"Odontoceridae",0.25,"family",1.12,1.01,1.01,1.02,0.94,0.97,0.89,0.27,1.03,0.1,0.09,0.09,0.16,0.13,0.2,0.76,0.08,1.03,1.03,1.03,0.98,1.06,0.98,0.94,1.03,0.08,0.08,0.08,0.12,0.05,0.13,0.16,0.08,0.71,0.71,0.7,0.77,0.82,0.81,1,0.68,0.5,0.7,0.7,0.69,0.74,0.69,0.75,0.77,0.69,0.99,0.99,1,0.98,0.96,0.96,0.72,1,0.99,0.99,0.99,0.96,0.84,0.92,0.77,1.01,"RF.dev-SVM.dev",0.11,"RF.dev-chGLM",0.08
"Dugesiidae",0.22,"family",1.06,0.99,0.99,1,0.95,0.96,0.89,0.27,1,0.06,0.06,0.06,0.1,0.1,0.16,0.74,0.06,1.01,1.01,1.01,1,1.04,0.98,0.96,1.01,0.04,0.04,0.04,0.05,0.02,0.07,0.09,0.05,0.67,0.67,0.67,0.72,0.81,0.8,1,0.66,0.5,0.65,0.65,0.66,0.68,0.63,0.7,0.72,0.65,0.99,0.99,0.99,0.97,0.96,0.96,0.71,0.99,0.97,0.97,0.98,0.93,0.78,0.88,0.72,0.99,"RF.dev-SVM.dev",0.07,"RF.dev-chGLM",0.05
"Lymnaeidae",0.22,"family",1.05,0.93,0.94,0.94,0.89,0.93,0.84,0.27,0.94,0.11,0.11,0.1,0.15,0.12,0.2,0.74,0.1,0.96,0.95,0.96,0.95,1.02,0.94,0.92,0.95,0.09,0.09,0.08,0.1,0.02,0.11,0.13,0.09,0.73,0.73,0.73,0.76,0.83,0.8,1,0.72,0.5,0.72,0.72,0.72,0.73,0.67,0.73,0.76,0.71,0.99,0.99,0.99,0.97,0.95,0.95,0.72,0.99,0.98,0.99,0.98,0.95,0.81,0.91,0.76,0.99,"RF.dev-SVM.dev",0.1,"RF.dev-chGLM",0.04
"Erpobdellidae",0.21,"family",1.03,0.78,0.79,0.79,0.75,0.76,0.73,0.21,0.79,0.24,0.24,0.23,0.27,0.26,0.29,0.79,0.23,0.8,0.81,0.81,0.82,0.88,0.8,0.77,0.8,0.22,0.22,0.21,0.21,0.14,0.23,0.25,0.22,0.82,0.82,0.82,0.85,0.86,0.86,1,0.82,0.5,0.82,0.81,0.81,0.81,0.78,0.82,0.84,0.82,0.99,0.99,0.99,0.97,0.94,0.97,0.76,0.99,0.99,0.99,0.99,0.96,0.9,0.96,0.84,0.99,"RF.dev-SVM.dev",0.11,"RF.dev-chGLM",0.04
"Scirtidae",0.2,"family",0.99,0.87,0.87,0.87,0.83,0.87,0.79,0.24,0.89,0.13,0.12,0.12,0.16,0.12,0.2,0.76,0.1,0.9,0.9,0.89,0.89,0.93,0.88,0.89,0.89,0.09,0.09,0.1,0.1,0.06,0.11,0.11,0.1,0.74,0.74,0.74,0.78,0.8,0.82,1,0.73,0.5,0.72,0.72,0.73,0.73,0.68,0.74,0.75,0.72,0.98,0.98,0.99,0.97,0.97,0.96,0.72,1,0.97,0.97,0.98,0.94,0.85,0.9,0.75,0.99,"BCT.dev-SVM.dev",0.06,"BCT.dev-chGLM",0.01
"Ephemerellidae",0.2,"family",1,0.8,0.81,0.81,0.75,0.7,0.69,0.19,0.84,0.19,0.19,0.19,0.25,0.3,0.31,0.81,0.16,0.82,0.84,0.83,0.8,0.81,0.79,0.73,0.85,0.18,0.16,0.17,0.2,0.19,0.21,0.27,0.15,0.79,0.79,0.79,0.83,0.87,0.88,1,0.77,0.5,0.79,0.78,0.78,0.8,0.79,0.8,0.83,0.76,0.99,0.99,0.99,0.97,0.95,0.95,0.76,0.99,0.99,0.98,0.99,0.96,0.91,0.91,0.84,0.99,"RF.dev-ANN.dev",0.12,"RF.dev-chGLM",0.1
"Asellidae",0.19,"family",0.97,0.74,0.74,0.74,0.7,0.73,0.68,0.2,0.74,0.24,0.24,0.24,0.28,0.25,0.3,0.8,0.24,0.75,0.75,0.75,0.75,0.85,0.75,0.73,0.75,0.23,0.23,0.23,0.23,0.13,0.23,0.25,0.23,0.84,0.83,0.83,0.85,0.87,0.87,1,0.83,0.5,0.83,0.83,0.83,0.83,0.77,0.83,0.83,0.83,0.99,0.99,0.99,0.98,0.94,0.97,0.77,0.99,0.99,1,0.99,0.97,0.89,0.95,0.84,1,"RF.dev-SVM.dev",0.12,"RF.dev-chGLM",0.02
"Ephemeridae",0.18,"family",0.94,0.8,0.81,0.82,0.75,0.76,0.72,0.2,0.8,0.14,0.14,0.13,0.2,0.19,0.24,0.79,0.15,0.82,0.82,0.83,0.8,0.88,0.8,0.75,0.8,0.13,0.12,0.11,0.15,0.07,0.14,0.2,0.15,0.75,0.74,0.74,0.8,0.87,0.84,1,0.76,0.5,0.74,0.73,0.73,0.76,0.73,0.76,0.8,0.76,0.99,0.99,0.99,0.98,0.94,0.96,0.76,1,0.99,0.99,0.99,0.96,0.84,0.91,0.8,1,"RF.dev-SVM.dev",0.13,"RF.dev-chGLM",0.08
"Chloroperlidae",0.18,"family",0.95,0.72,0.73,0.72,0.67,0.77,0.6,0.2,0.74,0.25,0.24,0.24,0.3,0.2,0.37,0.79,0.23,0.75,0.76,0.75,0.73,0.85,0.71,0.69,0.76,0.22,0.21,0.21,0.24,0.11,0.26,0.28,0.21,0.84,0.83,0.84,0.87,0.86,0.9,1,0.82,0.5,0.82,0.81,0.82,0.84,0.77,0.85,0.86,0.81,0.98,0.98,0.98,0.97,0.96,0.95,0.78,0.99,0.98,0.98,0.99,0.97,0.9,0.94,0.86,0.99,"RF.dev-SVM.dev",0.16,"RF.dev-chGLM",0.07
"Dytiscidae",0.16,"family",0.89,0.86,0.86,0.86,0.8,0.81,0.78,0.23,0.86,0.04,0.04,0.03,0.1,0.1,0.12,0.74,0.03,0.87,0.87,0.88,0.84,0.88,0.84,0.82,0.87,0.03,0.03,0.01,0.06,0.02,0.06,0.08,0.03,0.65,0.65,0.64,0.72,0.85,0.77,1,0.64,0.5,0.63,0.63,0.6,0.68,0.62,0.68,0.7,0.63,0.99,1,0.99,0.98,0.97,0.97,0.74,1,0.97,0.98,0.95,0.95,0.73,0.88,0.7,0.98,"RF.dev-chGLM.dev",0.07,"RF.dev-chGLM",0.07
"Stratiomyidae",0.17,"family",0.92,0.87,0.87,0.87,0.83,0.85,0.8,0.28,0.87,0.05,0.05,0.05,0.1,0.07,0.13,0.7,0.05,0.89,0.89,0.89,0.87,0.9,0.86,0.87,0.87,0.03,0.02,0.02,0.05,0.01,0.06,0.04,0.05,0.66,0.66,0.65,0.72,0.79,0.78,1,0.66,0.5,0.64,0.63,0.63,0.67,0.62,0.68,0.68,0.66,0.99,0.99,0.99,0.98,0.97,0.97,0.74,1,0.97,0.97,0.97,0.94,0.79,0.87,0.68,1,"BCT.dev-SVM.dev",0.05,"BCT.dev-chGLM",0.04
"Hydroptilidae",0.16,"family",0.87,0.73,0.74,0.74,0.71,0.79,0.71,0.22,0.75,0.16,0.15,0.15,0.18,0.09,0.19,0.74,0.14,0.75,0.75,0.75,0.75,0.84,0.75,0.76,0.76,0.14,0.14,0.13,0.14,0.04,0.14,0.13,0.13,0.78,0.77,0.77,0.79,0.85,0.81,1,0.77,0.5,0.76,0.77,0.76,0.77,0.67,0.77,0.76,0.76,0.99,0.99,0.99,0.98,0.98,0.98,0.77,0.99,0.98,0.99,0.99,0.97,0.78,0.95,0.77,0.99,"BCT.dev-SVM.dev",0.1,"BCT.dev-chGLM",0.01
